Resource,Creator,Type,Subtype,Description,STEM Yes/No,Link
Thriving Earth Exchange,Advancing Earth and Space Sciences (AGU),Advocacy,Skill share,Volunteer as a scientist to share you skills and expertise to support the technical aspects of projects.,Yes,https://thrivingearthexchange.org/
Global Science Policy at AGU,Advancing Earth and Space Sciences (AGU),Advocacy,Skill share,"AGU provides scientists at all levels, including students, with opportunities to become effective advocates for science policy and use their expertise to address global challenges.",Yes,https://www.agu.org/science-policy/programs/global-science-policy
Help Staff your Local Polling Place,Power the polls,Civic Engagement,,"Poll workers are hired by local election officials to help check in voters, distribute ballots, tally votes, and assist voters in the polling place.",No,https://www.powerthepolls.org/
Environmental Data & Governance Initiative,Envionmental Data & Governance Initiative,Data governance/ preservation,,"EDGI documents, contextualizes, and analyzes current changes to environmental data and governance practices through multidisciplinary and cross-professional collaborative work.",Yes,https://envirodatagov.org/volunteer/
Data Rescue Project,Data Resource Project,Data governance/ preservation,,"""The Data Rescue Project is a grassroots volunteer community dedicated to access to public data for the public good. We enable rapid response efforts for at-risk public data grounded in recognized data stewardship principles. We partner with allied communities of data creators, carers, and their organizations to advocate for sustainable data access.",No,https://www.datarescueproject.org/resources/
Checklist for USA Federal Data Backups,MIT Libraries,Data governance/ preservation,,Back up governmental webpages and non-interactive datasets that are hosted on them in the Internet Archive’s Wayback Machine,Yes,https://libraries.mit.edu/data-management/store/backups/checklist-usa/
Policy Brief Database,American Public Health Association (APHA),Database,Policy briefs,"The American Public Health Association (APHA) Policy Brief Database (formerly policy statements) is an online searchable archive containing public health positions and recommendations from 1948 to the present. It provides evidence-based guidance to shape legislation, regulatory actions, and educational outreach on critical health topics",Yes,https://www.apha.org/policy-and-advocacy/public-health-policy-briefs/policy-Database
Environmental Justice Index,Center of Disease Control (CDC),Database,Health effects,"The first nationwide, community-level tool created by the Centers for Disease Control and Prevention (CDC) and the Agency for Toxic Substances and Disease Registry (ATSDR). It measures the total health effects of environmental pollution combined with social and economic challenges for every census tract in the United States.",Yes,https://www.atsdr.cdc.gov/place-health/php/eji/index.html
Silencing Science Tracker,Climate Science Legal Defense Fund,Database,Federal policy,"The Silencing Science Tracker is a joint initiative of the Sabin Center for Climate Change Law and the Climate Science Legal Defense Fund. It is intended to record reports of federal, state, and local government attempts to “silence science” since the November 2016 election.",Yes,https://silencingscience.org/
ESAL Local STEM Database,Engineers and Scientists Acting Locally (ESAL),Database,Local policy,"Crowd-sourced database to find opportunities to engage locally. This resource contains searchable listings of community-based initiatives, agencies, and programs that benefit from having users, supporters, volunteers, and participants with a STEM background as well as content resources for learning more about issues at the intersection of STEM and local communities.",Yes,https://esal.us/local-stem-database/
